Claims,Key Points
Hydroxychloroquine is an effective treatment for Covid-19.,"{'main': 'Hydroxychloroquine is an effective treatment for Covid-19.', 'combined': [""Hydroxychloroquine's antiviral properties can reduce the severity of Covid-19 symptoms in some patients."", 'Given its success in treating other viral diseases, hydroxychloroquine is a promising treatment option for Covid-19.'], 'single': ['Hydroxychloroquine has antiviral properties that can combat SARS-CoV-2.', 'It has been shown to reduce the severity of Covid-19 symptoms in some patients.', 'It has been used to treat other viral diseases, such as malaria and rheumatoid arthritis, with success.']}"
"The current number of immigrants being apprehended at the U.S - Mexico border in the first two months of 2021 is higher than the crisis Joe Biden, Barack Obama and Nancy Pelosi acknowledged in 2014.","{'main': 'The current number of immigrants being apprehended at the U.S - Mexico border in the first two months of 2021 is higher than the crisis Joe Biden, Barack Obama and Nancy Pelosi acknowledged in 2014.', 'combined': ['There is a current crisis at the U.S.-Mexico border, with a high number of immigrants being apprehended in the first two months of 2021.', 'This crisis surpasses the one acknowledged in 2014 by prominent political figures.'], 'single': ['There is a current crisis at the U.S.-Mexico border.', 'The number of immigrants being apprehended in the first two months of 2021 is high.', 'This crisis is higher than the one acknowledged in 2014 by Joe Biden, Barack Obama, and Nancy Pelosi.']}"
"The PCR test is worthless, and only 3% of those with positive tests have COVID-19.","{'main': 'The PCR test is worthless, and only 3% of those with positive tests have COVID-19.', 'combined': [], 'single': ['The PCR test is worthless.', 'Only 3% of those with positive tests have COVID-19.']}"
Meghan Markle once worked at Humphrey Yogart,"{'main': 'Meghan Markle once worked at Humphrey Yogart', 'combined': [], 'single': ['Meghan Markle worked at a yogurt shop.', 'The yogurt shop was called Humphrey Yogart.']}"
Vitamin D is an effective treatment for Covid-19.,"{'main': 'Vitamin D is an effective treatment for Covid-19.', 'combined': [""Vitamin D's immunomodulatory effects can help mitigate the severity of Covid-19 symptoms, particularly in populations with high deficiency rates."", 'Addressing vitamin D deficiency through supplementation can be an effective strategy in reducing the severity of Covid-19 symptoms.'], 'single': ['Vitamin D has been shown to have immunomodulatory effects.', 'Vitamin D deficiency is prevalent in populations at high risk for severe Covid-19.', 'Vitamin D supplementation has been associated with reduced severity of Covid-19 symptoms.']}"
The H.R. 8—the Bipartisan Background Checks Act of 2021—“would create a national gun registry”.,"{'main': 'The H.R. 8—the Bipartisan Background Checks Act of 2021—“would create a national gun registry”.', 'combined': ['H.R. 8 would require background checks for all gun sales and transfers, and the FBI would be notified of all denied background checks, potentially creating a de facto registry.', 'The bill would mandate that the FBI be notified of all denied background checks, and allow the FBI to retain records of background checks for at least 90 days, which could lead to the creation of a national gun registry.'], 'single': ['H.R. 8 would require background checks for all gun sales and transfers', 'The bill would mandate that the FBI be notified of all denied background checks', 'The bill would allow the FBI to retain records of background checks for at least 90 days']}"
The Centre for Disease Control and Prevention (CDC) reported that face masks do not work.,"{'main': 'The Centre for Disease Control and Prevention (CDC) reported that face masks do not work.', 'combined': [], 'single': ['The Centre for Disease Control and Prevention (CDC) made a report about face masks.', 'The report stated that face masks do not work.']}"
Army wives welfare association has started 'Sena Jal' packaged water initiative.,"{'main': ""Army wives welfare association has started 'Sena Jal' packaged water initiative."", 'combined': [], 'single': ['Army wives welfare association has started an initiative.', ""The initiative is called 'Sena Jal'."", 'The initiative is related to packaged water.']}"
Coronavirus variants get weaker over time and less dangerous.,"{'main': 'Coronavirus variants get weaker over time and less dangerous.', 'combined': ['Coronavirus variants undergo a process of attenuation over time, resulting in reduced virulence and decreased danger to humans.'], 'single': ['Coronavirus variants get weaker over time.', 'Coronavirus variants become less dangerous.']}"
A Gujarat court acquitted 122 Muslim men after they had spent 20 years in jail for alleged links to banned outfit Students' Islamic Movement of India (SIMI).,"{'main': ""A Gujarat court acquitted 122 Muslim men after they had spent 20 years in jail for alleged links to banned outfit Students' Islamic Movement of India (SIMI)."", 'combined': ['The 122 Muslim men were acquitted by a Gujarat court after being imprisoned for 20 years.', 'The men were accused of having links to SIMI, but were later acquitted.'], 'single': ['A Gujarat court acquitted 122 Muslim men.', 'They had spent 20 years in jail.', ""They were accused of having alleged links to banned outfit Students' Islamic Movement of India (SIMI).""]}"
Coronavirus variants artificially created are not found in humans.,"{'main': 'Coronavirus variants artificially created are not found in humans.', 'combined': [], 'single': ['Coronavirus variants are artificially created.', 'These artificially created variants are not found in humans.']}"
£37 billion has been spent on NHS Test and Trace so far.,"{'main': '£37 billion has been spent on NHS Test and Trace so far.', 'combined': [], 'single': ['A significant amount of money (£37 billion) has been spent.', 'The spending is related to NHS Test and Trace.', 'The spending has occurred so far (implying an ongoing process).']}"
The majority of COVID-19 patients are asymptomatic.,"{'main': 'The majority of COVID-19 patients are asymptomatic.', 'combined': [], 'single': ['The majority of COVID-19 patients do not show symptoms.', 'Asymptomatic patients can still transmit the virus to others.']}"
Line 17 of the $1.9 Trillion USD Covid-19 Stimulus bill awards $25 Million USD to House representatives.,"{'main': 'Line 17 of the $1.9 Trillion USD Covid-19 Stimulus bill awards $25 Million USD to House representatives.', 'combined': ['The Covid-19 Stimulus bill allocates $25 Million USD to House representatives, which is a part of the total $1.9 Trillion USD package.', 'The specific allocation of $25 Million USD on Line 17 of the bill is for the benefit of House representatives.'], 'single': ['The Covid-19 Stimulus bill has a total value of $1.9 Trillion USD.', 'Line 17 of the bill allocates a specific amount of funds.', 'The allocated amount is $25 Million USD.', 'The funds are awarded to House representatives.']}"
"A fire broke out and engulfed the Nigerian President’s Villa in Aso Rock, Nigeria, causing tensions.","{'main': 'A fire broke out and engulfed the Nigerian President’s Villa in Aso Rock, Nigeria, causing tensions.', 'combined': ['A fire broke out and engulfed the Nigerian President’s Villa in Aso Rock, Nigeria, which led to tensions.'], 'single': ['A fire broke out in the Nigerian President’s Villa in Aso Rock, Nigeria.', 'The fire engulfed the villa.', 'The incident caused tensions.']}"
CDC study found that face masks have a negligible effect on the spread of COVID-19,"{'main': 'CDC study found that face masks have a negligible effect on the spread of COVID-19', 'combined': [""The CDC study's conclusion that face masks have a negligible effect on the spread of COVID-19 contradicts their widespread use as a preventive measure.""], 'single': ['CDC study examined the effect of face masks on COVID-19 spread', 'Face masks have a negligible effect on the spread of COVID-19 according to the study', ""The study's findings contradict the widespread use of face masks as a preventive measure""]}"
"The filibuster was never an idea of the founding fathers.""","{'main': 'The filibuster was never an idea of the founding fathers.""', 'combined': ['The absence of the filibuster in the US Constitution and the lack of historical evidence of its discussion by the founding fathers suggest that it was not part of their original vision.'], 'single': ['The filibuster is not mentioned in the US Constitution.', 'There is no historical evidence of the founding fathers discussing or implementing the filibuster.', ""The concept of the filibuster emerged in the 19th century, long after the founding fathers' time.""]}"
$1.9 trillion US pandemic relief act includes a $25 million bonus for members of the House of Representatives.,"{'main': '$1.9 trillion US pandemic relief act includes a $25 million bonus for members of the House of Representatives.', 'combined': ['The $1.9 trillion US pandemic relief act allocates a significant amount, specifically $25 million, as a bonus for members of the House of Representatives.'], 'single': ['The US pandemic relief act is worth $1.9 trillion.', 'The act includes a bonus for members of the House of Representatives.', 'The bonus for House members is $25 million.']}"
The $1.9 trillion COVID-19 relief bill awards a $25 million bonus to House members.,"{'main': 'The $1.9 trillion COVID-19 relief bill awards a $25 million bonus to House members.', 'combined': ['The COVID-19 relief bill, worth $1.9 trillion, allocates $25 million as a bonus for House members.'], 'single': ['The COVID-19 relief bill has a total value of $1.9 trillion.', 'The bill includes a bonus for House members.', 'The bonus for House members is $25 million.']}"
The high blood pressure medication hydrochlorothiazide can cause skin cancer.,"{'main': 'The high blood pressure medication hydrochlorothiazide can cause skin cancer.', 'combined': [], 'single': ['Hydrochlorothiazide is a high blood pressure medication.', 'It can cause skin cancer.']}"
"Sen. John Barrasso of Wyoming defended his vote against the American Rescue Plan Act, in part, by claiming that the legislation would provide $1,400 stimulus checks to prisoners who shouldn’t receive them.","{'main': 'Sen. John Barrasso of Wyoming defended his vote against the American Rescue Plan Act, in part, by claiming that the legislation would provide $1,400 stimulus checks to prisoners who shouldn’t receive them.', 'combined': ['Sen. John Barrasso defended his vote against the American Rescue Plan Act because it would provide stimulus checks to prisoners, who he believes shouldn’t receive them.'], 'single': ['Sen. John Barrasso defended his vote against the American Rescue Plan Act.', 'The legislation would provide $1,400 stimulus checks to prisoners.', 'Prisoners shouldn’t receive stimulus checks according to Sen. John Barrasso.']}"
INTERNATIONAL SPACE STATION FILM A UFO FOR 22 MINUTES,"{'main': 'INTERNATIONAL SPACE STATION FILM A UFO FOR 22 MINUTES', 'combined': ['The ISS, a credible and reliable source, captured 22 minutes of UFO footage, making the sighting more significant and trustworthy.', 'The fact that the ISS filmed the UFO for 22 minutes suggests that the object was not a fleeting phenomenon, but rather a sustained presence.'], 'single': ['The International Space Station (ISS) captured footage of an Unidentified Flying Object (UFO).', 'The footage lasted for 22 minutes.', 'The UFO was filmed by the ISS, which is a credible and reliable source.']}"
"Ballots From The 2020 US Election Were Found Shredded And Trashed In Maricopa County, Arizona","{'main': 'Ballots From The 2020 US Election Were Found Shredded And Trashed In Maricopa County, Arizona', 'combined': ['Ballots from the 2020 US election were found shredded in Maricopa County, Arizona', 'Ballots from the 2020 US election were found trashed in Maricopa County, Arizona'], 'single': ['Ballots from the 2020 US election were found in Maricopa County, Arizona', 'The ballots were found shredded', 'The ballots were found trashed']}"
Pakistan requests made-in-India Covid vaccine under Global Alliance for Vaccines and Immunisation program.,"{'main': 'Pakistan requests made-in-India Covid vaccine under Global Alliance for Vaccines and Immunisation program.', 'combined': [], 'single': ['Pakistan requests Covid vaccine from India', 'The request is made under the Global Alliance for Vaccines and Immunisation program']}"
"The Controller General of the Nigerian Customs Service, Hameed Ali said the service has not recruited in the last 17 years.","{'main': 'The Controller General of the Nigerian Customs Service, Hameed Ali said the service has not recruited in the last 17 years.', 'combined': [], 'single': ['The Nigerian Customs Service has not recruited in the last 17 years.', 'The statement was made by the Controller General of the Nigerian Customs Service, Hameed Ali.']}"
"Indian Union Government is providing a monthly allowance of Rs 3,500 to unemployed youth.","{'main': 'Indian Union Government is providing a monthly allowance of Rs 3,500 to unemployed youth.', 'combined': ['The Indian Union Government is providing a monthly allowance of Rs 3,500 specifically for unemployed youth.'], 'single': ['The Indian Union Government is providing a monthly allowance.', 'The allowance is for unemployed youth.', 'The monthly allowance is Rs 3,500.']}"
"In a letter Indian Prime Minister Narendra Modi praised Yogi Adityanath, chief minister of Uttar Pradesh, for his contribution towards laying the foundation of a Hindu Rashtra (Hindu nation).","{'main': 'In a letter Indian Prime Minister Narendra Modi praised Yogi Adityanath, chief minister of Uttar Pradesh, for his contribution towards laying the foundation of a Hindu Rashtra (Hindu nation).', 'combined': ['Narendra Modi praised Yogi Adityanath, the chief minister of Uttar Pradesh, in a letter.', ""Narendra Modi acknowledged Yogi Adityanath's role in establishing a Hindu Rashtra.""], 'single': ['Narendra Modi praised Yogi Adityanath in a letter.', 'Yogi Adityanath is the chief minister of Uttar Pradesh.', 'Yogi Adityanath contributed to laying the foundation of a Hindu Rashtra (Hindu nation).']}"
Former president Pratibha Patil praised the work of Prime Minister Narendra Modi.,"{'main': 'Former president Pratibha Patil praised the work of Prime Minister Narendra Modi.', 'combined': [], 'single': ['Former president Pratibha Patil expressed praise.', 'The praise was directed towards Prime Minister Narendra Modi.', 'The praise was about the work of Prime Minister Narendra Modi.']}"
The New York Times and German broadcaster Deutsche Welle have endorsed China’s Covid-19 vaccines.,"{'main': 'The New York Times and German broadcaster Deutsche Welle have endorsed China’s Covid-19 vaccines.', 'combined': ['The endorsement of China’s Covid-19 vaccines by both The New York Times and Deutsche Welle adds credibility to their effectiveness.'], 'single': ['The New York Times has endorsed China’s Covid-19 vaccines.', 'Deutsche Welle has endorsed China’s Covid-19 vaccines.', 'Two reputable international media outlets have endorsed China’s Covid-19 vaccines.']}"
Senators are not given sufficient time to read proposed high dollar legislation before it is voted on.,"{'main': 'Senators are not given sufficient time to read proposed high dollar legislation before it is voted on.', 'combined': ['Senators lack sufficient time to review high dollar legislation, leading to uninformed voting decisions.'], 'single': ['Senators are not given sufficient time to read proposed legislation.', 'Proposed legislation involves high dollar amounts.', 'Legislation is voted on without sufficient review time.']}"
Ivermectin is effective for preventing and treating COVID-19,"{'main': 'Ivermectin is effective for preventing and treating COVID-19', 'combined': [""Ivermectin's antiviral and anti-inflammatory properties can combat SARS-CoV-2 and reduce COVID-19 symptoms"", ""Ivermectin's ability to inhibit SARS-CoV-2 replication in vitro supports its potential to prevent and treat COVID-19""], 'single': ['Ivermectin has antiviral properties that can combat SARS-CoV-2', 'Ivermectin has anti-inflammatory properties that can reduce COVID-19 symptoms', 'Ivermectin has been shown to inhibit the replication of SARS-CoV-2 in vitro']}"
A flatter bag of lettuce at the grocery store indicates it is fresher than that in an inflated bag.,"{'main': 'A flatter bag of lettuce at the grocery store indicates it is fresher than that in an inflated bag.', 'combined': ['A flatter bag of lettuce is likely to be fresher because it contains less air and more lettuce, which means it has been stored for a shorter period.', 'A bag of lettuce that is not inflated is likely to be fresher because it has been stored for a shorter period and contains more lettuce than air.'], 'single': ['A flatter bag of lettuce indicates freshness.', 'A bag of lettuce that is not inflated is likely to be fresher.', 'Inflated bags of lettuce may contain more air than lettuce.', 'Fresher lettuce is less likely to be stored for a longer period.']}"
West Virginia “is the only state to decline in population over the last 70 years”,"{'main': 'West Virginia “is the only state to decline in population over the last 70 years”', 'combined': [], 'single': ['West Virginia has declined in population over the last 70 years.', 'It is the only state to do so.']}"
Hair loss may be a side effect of antidepressants.,"{'main': 'Hair loss may be a side effect of antidepressants.', 'combined': [], 'single': ['Hair loss is a potential side effect of antidepressant medication.', 'Antidepressants can cause hair loss in some individuals.']}"
A German children's charity has commissioned a laboratory to examine a commercially avalailable mask. The face mask was previously worn by a child in school for 8 hours. Examination findings: Detection of 82 bacterial colonies and 4 mold colonies !!,"{'main': ""A German children's charity has commissioned a laboratory to examine a commercially avalailable mask. The face mask was previously worn by a child in school for 8 hours. Examination findings: Detection of 82 bacterial colonies and 4 mold colonies !!"", 'combined': ['The laboratory examination of the mask, worn by a child in school for 8 hours, revealed a high number of bacterial colonies.', ""The examination of the mask, commissioned by a German children's charity, found both bacterial and mold colonies.""], 'single': [""A German children's charity commissioned a laboratory to examine a commercially available mask."", 'The face mask was previously worn by a child in school for 8 hours.', 'Examination findings detected 82 bacterial colonies.', 'Examination findings detected 4 mold colonies.']}"
BJP MP Sushil Modi claims first five Indian education ministers were Muslims,"{'main': 'BJP MP Sushil Modi claims first five Indian education ministers were Muslims', 'combined': [], 'single': ['Sushil Modi is a BJP MP.', ""The first five Indian education ministers were Muslims according to Sushil Modi's claim.""]}"
All first five education ministers of India were from  one community.,"{'main': 'All first five education ministers of India were from  one community.', 'combined': ['The first five education ministers of India can be listed, and they all belong to a specific community.'], 'single': ['All first five education ministers of India were from the same community.', 'The community in question is a specific one, not a general category.', 'The first five education ministers of India can be identified and listed.']}"
Covid-19 is a rebrand of flu,"{'main': 'Covid-19 is a rebrand of flu', 'combined': ['Covid-19 and flu share similar symptoms, which could lead to misdiagnosis and reclassification of existing illnesses.', 'There is no significant difference in the mortality rate between Covid-19 and flu, suggesting that Covid-19 might not be a new disease, but rather a rebrand of flu.'], 'single': ['Covid-19 and flu share similar symptoms.', 'Covid-19 is not a new disease, but rather a reclassification of existing illnesses.', 'There is no significant difference in the mortality rate between Covid-19 and flu.']}"
The DHS released thousands of COVID-positive migrants into the United States.,"{'main': 'The DHS released thousands of COVID-positive migrants into the United States.', 'combined': [], 'single': ['DHS released thousands of migrants into the United States.', 'The migrants released were COVID-positive.']}"
Cuomo Called For Lawmaker Vito Lopez to Resign Amid Sexual Harassment Claims.,"{'main': 'Cuomo Called For Lawmaker Vito Lopez to Resign Amid Sexual Harassment Claims.', 'combined': ['Cuomo called for the resignation of lawmaker Vito Lopez amid sexual harassment claims.'], 'single': ['Cuomo called for Vito Lopez to resign.', 'The call for resignation was amid sexual harassment claims.', 'Vito Lopez was a lawmaker.']}"
Rep. Alexandria Ocasio-Cortez is worth more than $1 million,"{'main': 'Rep. Alexandria Ocasio-Cortez is worth more than $1 million', 'combined': [], 'single': ['Rep. Alexandria Ocasio-Cortez has a significant net worth.', 'Her net worth is estimated to be over $1 million.']}"
"The index of economic need, underpinning prioritisation for the “Levelling Up Fund” has been transparently published by MHCLG.(the Ministry of Housing, Communities and Local Government )","{'main': 'The index of economic need, underpinning prioritisation for the “Levelling Up Fund” has been transparently published by MHCLG.(the Ministry of Housing, Communities and Local Government )', 'combined': ['The index of economic need, published transparently by MHCLG, underpins prioritisation for the Levelling Up Fund.'], 'single': ['There is an index of economic need.', 'The index underpins prioritisation for the Levelling Up Fund.', 'The index has been published by MHCLG (Ministry of Housing, Communities and Local Government).', 'The publication of the index is transparent.']}"
The Ingenuity helicopter cannot fly in the Martian atmosphere.,"{'main': 'The Ingenuity helicopter cannot fly in the Martian atmosphere.', 'combined': ['The combination of the thin Martian atmosphere and the low temperature on Mars makes it impossible for the Ingenuity helicopter to generate enough lift and operate within its design limits.'], 'single': ['The Martian atmosphere is too thin to provide sufficient lift for the Ingenuity helicopter.', ""The Martian atmosphere is mostly carbon dioxide, which is not suitable for the helicopter's rotors."", ""The temperature on Mars can drop to -125°C, which is beyond the helicopter's operational limits.""]}"
A mountain of gold has been found in the Democratic Republic of Congo.,"{'main': 'A mountain of gold has been found in the Democratic Republic of Congo.', 'combined': [], 'single': ['A mountain of gold has been found', 'It is located in the Democratic Republic of Congo']}"
People traveling to their provinces amid the pandemic no longer need to meet travel requirements.,"{'main': 'People traveling to their provinces amid the pandemic no longer need to meet travel requirements.', 'combined': ['People traveling to their provinces during the pandemic no longer need to meet travel requirements because of the current health crisis.'], 'single': ['People traveling to their provinces no longer need to meet travel requirements.', 'There is a pandemic.', 'Travel requirements are being waived for certain travelers.']}"
A helicopter gets it lift by pushing air downwards.,"{'main': 'A helicopter gets it lift by pushing air downwards.', 'combined': [], 'single': ['A helicopter gets its lift', 'by pushing air downwards']}"
There exists a water-powered car that can run solely on water.,"{'main': 'There exists a water-powered car that can run solely on water.', 'combined': [""The car's engine is capable of converting water into a usable energy form, which allows it to run solely on water without requiring any other fuel source."", 'The car uses water as its primary source of energy, and does not require any other fuel source besides water, making it a self-sustaining vehicle.'], 'single': ['The car uses water as its primary source of energy.', 'The car does not require any other fuel source besides water.', ""The car's engine is capable of converting water into a usable energy form.""]}"
Rockets need atmospheric oxygen which is not available on Mars.,"{'main': 'Rockets need atmospheric oxygen which is not available on Mars.', 'combined': ['Rockets cannot operate on Mars because the planet lacks atmospheric oxygen.'], 'single': ['Rockets need atmospheric oxygen.', 'Atmospheric oxygen is not available on Mars.']}"
"Combustion, cannot exist without at least 16% of oxygen content to burn, and Mars atmosphere only contains 0'16% of molecular oxygen. So, NASA's Perseverance rover cannot land on Mars.","{'main': ""Combustion, cannot exist without at least 16% of oxygen content to burn, and Mars atmosphere only contains 0'16% of molecular oxygen. So, NASA's Perseverance rover cannot land on Mars."", 'combined': ['Since combustion requires at least 16% oxygen content to burn and Mars atmosphere contains 0.16% of molecular oxygen, the conditions for combustion are not met on Mars.', ""Given that NASA's Perseverance rover relies on combustion to land on Mars and Mars atmosphere contains 0.16% of molecular oxygen, the rover cannot land on Mars.""], 'single': ['Combustion requires at least 16% oxygen content to burn.', 'Mars atmosphere contains 0.16% of molecular oxygen.', ""NASA's Perseverance rover relies on combustion to land on Mars.""]}"
"Helicopter gets its lifting force by pushing air downward. Mars has an atmospheric volume less than 1% of Earth's atmosphere. So, NASA's Ingenuity aircraft cannot fly on Mars.","{'main': ""Helicopter gets its lifting force by pushing air downward. Mars has an atmospheric volume less than 1% of Earth's atmosphere. So, NASA's Ingenuity aircraft cannot fly on Mars."", 'combined': [""Since helicopters generate lift by pushing air downward, the thin Martian atmosphere (less than 1% of Earth's) cannot provide enough air for NASA's Ingenuity aircraft to fly.""], 'single': ['Helicopter gets its lifting force by pushing air downward.', ""Mars has an atmospheric volume less than 1% of Earth's atmosphere."", ""NASA's Ingenuity aircraft cannot fly on Mars.""]}"
"An illegal Christian cross was erected on a hilltop in Edlapadu, Andhra Pradesh, India where footprints of Hindu deity Sita used to exist, thereby encroaching on a Hindu religious site.","{'main': 'An illegal Christian cross was erected on a hilltop in Edlapadu, Andhra Pradesh, India where footprints of Hindu deity Sita used to exist, thereby encroaching on a Hindu religious site.', 'combined': ['The illegal Christian cross was erected on a Hindu religious site with footprints of Hindu deity Sita.', 'The Christian cross encroached on a Hindu religious site, which is illegal.'], 'single': ['A Christian cross was erected on a hilltop in Edlapadu, Andhra Pradesh, India.', 'The hilltop was a Hindu religious site with footprints of Hindu deity Sita.', 'The erection of the cross was illegal.', 'The cross encroached on a Hindu religious site.']}"
Mars has an atmospheric volume less than 1% of Earth's atmosphere.,"{'main': ""Mars has an atmospheric volume less than 1% of Earth's atmosphere."", 'combined': [], 'single': ['Mars has an atmospheric volume', ""it is less than 1% of Earth's atmosphere""]}"
The Mars Perseverance mission didn't happen because of unfavorable Martian atmospheric conditions.,"{'main': ""The Mars Perseverance mission didn't happen because of unfavorable Martian atmospheric conditions."", 'combined': ['The Mars Perseverance mission was unsuccessful because of the unfavorable Martian atmospheric conditions that caused its failure.'], 'single': ['The Mars Perseverance mission was unsuccessful.', ""Mars' atmospheric conditions were unfavorable."", ""The unfavorable Martian atmospheric conditions caused the mission's failure.""]}"
Lowe’s has announced that everyone who shares this link will be sent a $150 coupon for its anniversary.,"{'main': 'Lowe’s has announced that everyone who shares this link will be sent a $150 coupon for its anniversary.', 'combined': ['Lowe’s has announced that sharing a link will result in receiving a $150 coupon for its anniversary.'], 'single': ['Lowe’s has announced something about its anniversary.', 'The announcement is related to sharing a link.', 'Sharing the link will result in receiving a $150 coupon.']}"
The Johnson & Johnson coronavirus vaccine has aborted fetal tissue from aborted babies from the retina as well as from kidney cells,"{'main': 'The Johnson & Johnson coronavirus vaccine has aborted fetal tissue from aborted babies from the retina as well as from kidney cells', 'combined': ['The Johnson & Johnson coronavirus vaccine contains aborted fetal tissue from retina cells, which is a specific source of the tissue.', 'The Johnson & Johnson coronavirus vaccine contains aborted fetal tissue from kidney cells, which is another source of the tissue.'], 'single': ['The Johnson & Johnson coronavirus vaccine contains aborted fetal tissue.', 'The aborted fetal tissue is derived from retina cells.', 'The aborted fetal tissue is also derived from kidney cells.']}"
US Nevada voter Christina Gupana disappeared.,"{'main': 'US Nevada voter Christina Gupana disappeared.', 'combined': [], 'single': ['Christina Gupana is a US voter.', 'Christina Gupana is from Nevada.', 'Christina Gupana disappeared.']}"
US Nevada voter Christina Gupana appears to be in the Philippines,"{'main': 'US Nevada voter Christina Gupana appears to be in the Philippines', 'combined': [], 'single': ['Christina Gupana is a US Nevada voter.', 'Christina Gupana appears to be located in the Philippines.']}"
US Nevada voter Christina Gupana never lived at her US address.,"{'main': 'US Nevada voter Christina Gupana never lived at her US address.', 'combined': [], 'single': ['Christina Gupana is a US Nevada voter.', 'She never lived at her US address.']}"
US Nevada voter Christina Gupana has a fake London address.,"{'main': 'US Nevada voter Christina Gupana has a fake London address.', 'combined': ['Christina Gupana, a US Nevada voter, has a fake address outside of the US, specifically in London.'], 'single': ['Christina Gupana is a US Nevada voter.', 'Christina Gupana has a fake address.', 'The fake address is in London.']}"
"While he was president, President Trump never encouraged Americans to get vaccinated.","{'main': 'While he was president, President Trump never encouraged Americans to get vaccinated.', 'combined': [], 'single': ['President Trump was the President of the United States at some point.', 'President Trump never encouraged Americans to get vaccinated during his presidency.']}"
US Nevada voter Christina Gupana fraudently voted in the US elections,"{'main': 'US Nevada voter Christina Gupana fraudently voted in the US elections', 'combined': ['Christina Gupana, a US Nevada voter, cast a ballot in the US elections.', ""Christina Gupana's vote in the US elections was fraudulent.""], 'single': ['Christina Gupana is a US Nevada voter.', 'Christina Gupana voted in the US elections.', ""Christina Gupana's vote was fraudulent.""]}"
California is vaccinating homeless people and prison inmates against COVID-19 before others,"{'main': 'California is vaccinating homeless people and prison inmates against COVID-19 before others', 'combined': ['California is prioritizing vulnerable populations, including homeless people and prison inmates, for COVID-19 vaccination'], 'single': ['California is vaccinating homeless people against COVID-19', 'California is vaccinating prison inmates against COVID-19', 'Homeless people and prison inmates are being vaccinated before others']}"
ALTERED PHOTO: 'Philippine Star' announces Sara Duterte's candidacy for 2022 elections,"{'main': ""ALTERED PHOTO: 'Philippine Star' announces Sara Duterte's candidacy for 2022 elections"", 'combined': [""The altered image falsely shows the Philippine Star announcing Sara Duterte's candidacy for the 2022 elections.""], 'single': ['The image is altered.', ""The image shows the Philippine Star announcing Sara Duterte's candidacy."", 'The announcement is about the 2022 elections.']}"
Former US president Donald Trump says he requested 10k National Guard troops at Capitol on day of riot then House Speaker Nancy Pelosi (D-Calif.) then blocked that deployment.,"{'main': 'Former US president Donald Trump says he requested 10k National Guard troops at Capitol on day of riot then House Speaker Nancy Pelosi (D-Calif.) then blocked that deployment.', 'combined': [""Donald Trump's request for 10,000 National Guard troops on the day of the riot was blocked by Nancy Pelosi.""], 'single': ['Donald Trump requested 10,000 National Guard troops at the Capitol on the day of the riot.', 'Nancy Pelosi blocked the deployment of the National Guard troops.', 'The request for National Guard troops was made on the day of the riot.']}"
No one has died of the flu (influenza) this year.,"{'main': 'No one has died of the flu (influenza) this year.', 'combined': [], 'single': ['No reported deaths from the flu this year', 'There have been no fatalities attributed to influenza this year']}"
Average UK house prices rose roughly fourfold between 1990 and 2020.,"{'main': 'Average UK house prices rose roughly fourfold between 1990 and 2020.', 'combined': [], 'single': ['Average UK house prices increased significantly between 1990 and 2020.', 'The increase in average UK house prices between 1990 and 2020 was roughly fourfold.']}"
"Was Jen Pskai correct when suggesting the United States as a matter of practice does not sanction government leaders, “even where we don’t have government relations.”","{'main': 'Was Jen Pskai correct when suggesting the United States as a matter of practice does not sanction government leaders, “even where we don’t have government relations.”', 'combined': [], 'single': ['The United States does not sanction government leaders as a matter of practice.', 'This practice applies even when the US does not have government relations with the country in question.']}"
Israel is launching 'Green Pass' for citizens vaccinated against COVID-19,"{'main': ""Israel is launching 'Green Pass' for citizens vaccinated against COVID-19"", 'combined': [], 'single': [""Israel is launching a 'Green Pass' program."", ""The 'Green Pass' is for citizens vaccinated against COVID-19.""]}"
There are no longer travel restrictions for Sudanese coming to the U.S.,"{'main': 'There are no longer travel restrictions for Sudanese coming to the U.S.', 'combined': [], 'single': ['Sudanese individuals are allowed to travel to the U.S.', 'There are no restrictions on Sudanese travel to the U.S.']}"
BBC described the Left Front-Congress gathering at Kolkata’s Brigade Parade Ground on February 28 2021 as the “world’s largest peaceful political gathering”.,"{'main': 'BBC described the Left Front-Congress gathering at Kolkata’s Brigade Parade Ground on February 28 2021 as the “world’s largest peaceful political gathering”.', 'combined': ['The gathering, which was a Left Front-Congress gathering, took place at Kolkata’s Brigade Parade Ground on February 28, 2021.', ""The gathering, described by BBC as the 'world’s largest peaceful political gathering', occurred on February 28, 2021 at Kolkata’s Brigade Parade Ground.""], 'single': [""BBC described the gathering as the 'world’s largest peaceful political gathering'"", 'The gathering took place at Kolkata’s Brigade Parade Ground', 'The gathering occurred on February 28, 2021', 'The gathering was a Left Front-Congress gathering']}"
"317 students who were abducted on Friday from the Government Girls Secondary School in Jangebe, Talata-Mafara Local Government Area, Zamfara State, Nigeria, have been released.","{'main': '317 students who were abducted on Friday from the Government Girls Secondary School in Jangebe, Talata-Mafara Local Government Area, Zamfara State, Nigeria, have been released.', 'combined': ['The 317 students abducted on Friday from the Government Girls Secondary School have been released.', 'The students abducted from the school in Jangebe, Talata-Mafara Local Government Area, Zamfara State, Nigeria, have been released.'], 'single': ['317 students were abducted from the Government Girls Secondary School.', 'The abduction occurred on Friday.', 'The school is located in Jangebe, Talata-Mafara Local Government Area, Zamfara State, Nigeria.', 'The students have been released.']}"
